"S NO.,BATCH,DAY,SESSION,BRANCHES,ROOM,COURSE"
"1,V-SU-B1,MON,FN,CSE (107),5102,CP"
"2,V-SU-B1,TUE,FN,CSE (107),5102,DBMS"
"3,V-SU-B1,WED,FN,CSE (107),5102,JFS"
"4,V-SU-B1,THU,AN,CSE (107),5102,CP"
"5,V-SU-B1,FRI,AN,CSE (107),5102,AWS"
"6,V-SU-B1,SAT,AN,CSE (107),5102,JFS"
"7,V-SU-B2,MON ,FN,AI&ML (72) + IT (35),5106,AWS"
"8,V-SU-B2,TUE,FN,AI&ML (72) + IT (35),5106,JFS"
"9,V-SU-B2,WED,FN,AI&ML (72) + IT (35),5106,CP"
"10,V-SU-B2,THU,AN,AI&ML (72) + IT (35),5106,DBMS"
"11,V-SU-B2,FRI,AN,AI&ML (72) + IT (35),5106,JFS"
"12,V-SU-B2,SAT,AN,AI&ML (72) + IT (35),5106,CP"
"13,V-SU-B3,MON,AN,CS (31) + DS (31) + ECE (13),5104,DBMS"
"14,V-SU-B3,TUE,AN,CS (31) + DS (31) + ECE (13),5104,AWS"
"15,V-SU-B3,WED,AN,CS (31) + DS (31) + ECE (13),5104,CP"
"16,V-SU-B3,THU,FN,CS (31) + DS (31) + ECE (13),5104,JFS"
"17,V-SU-B3,FRI,FN,CS (31) + DS (31) + ECE (13),5104,CP"
"18,V-SU-B3,SAT,FN,CS (31) + DS (31) + ECE (13),5104,JFS"
"19,V-SN-B1,MON,FN,CSE (89),5204,CP"
"20,V-SN-B1,TUE,FN,CSE (89),5204,DBMS"
"21,V-SN-B1,WED,FN,CSE (89),5204,JFS"
"22,V-SN-B1,THU,AN,CSE (89),5204,CP"
"23,V-SN-B1,FRI,AN,CSE (89),5204,CP"
"24,V-SN-B1,SAT,AN,CSE (89),5204,JFS"
"25,V-SN-B2,MON,FN,AI&ML (55) + IT (38),5104,JFS"
"26,V-SN-B2,TUE,FN,AI&ML (55) + IT (38),5104,CP"
"27,V-SN-B2,WED,FN,AI&ML (55) + IT (38),5104,CP"
"28,V-SN-B2,THU,AN,AI&ML (55) + IT (38),5104,JFS"
"29,V-SN-B2,FRI,AN,AI&ML (55) + IT (38),5104,DBMS"
"30,V-SN-B2,SAT,AN,AI&ML (55) + IT (38),5104,CP"
"31,V-SN-B3,""MON, "",AN,CS (29) + DS (41) + ECE (45) + ME (1),5102,CP"
"32,V-SN-B3,TUE,AN,CS (29) + DS (41) + ECE (45) + ME (1),5102,JFS"
"33,V-SN-B3,WED,AN,CS (29) + DS (41) + ECE (45) + ME (1),5102,DBMS"
"34,V-SN-B3,THU,FN,CS (29) + DS (41) + ECE (45) + ME (1),5102,CP"
"35,V-SN-B3,FRI,FN,CS (29) + DS (41) + ECE (45) + ME (1),5102,JFS"
"36,V-SN-B3,SAT,FN,CS (29) + DS (41) + ECE (45) + ME (1),5102,CP"
"37,V-SB-B1,MON,FN,CSE (109),5101,CP"
"38,V-SB-B1,TUE,FN,CSE (109),5101,JFS"
"39,V-SB-B1,WED,FN,CSE (109),5101,CP"
"40,V-SB-B1,THU,AN,CSE (109),5101,CP"
"41,V-SB-B1,FRI,AN,CSE (109),5101,JFS"
"42,V-SB-B1,SAT,AN,CSE (109),5101,DBMS"
"43,V-SB-B2,MON,FN,CSE (38) + IT (76),5005,DBMS"
"44,V-SB-B2,TUE,FN,CSE (38) + IT (76),5005,CP"
"45,V-SB-B2,WED,FN,CSE (38) + IT (76),5005,JFS"
"46,V-SB-B2,THU,AN,CSE (38) + IT (76),5005,CP"
"47,V-SB-B2,FRI,AN,CSE (38) + IT (76),5005,CP"
"48,V-SB-B2,SAT,AN,CSE (38) + IT (76),5005,JFS"
"49,V-SB-B3,""MON, "",FN,AIML (88),5201,JFS"
"50,V-SB-B3,TUE,FN,AIML (88),5201,CP"
"51,V-SB-B3,WED,FN,AIML (88),5201,CP"
"52,V-SB-B3,THU,AN,AIML (88),5201,JFS"
"53,V-SB-B3,FRI,AN,AIML (88),5201,DBMS"
"54,V-SB-B3,SAT,AN,AIML (88),5201,CP"
"55,V-SB-B4,MON,AN,DS (84) + EEE (10) + ECE (23),5101,JFS"
"56,V-SB-B4,TUE,AN,DS (84) + EEE (10) + ECE (23),5101,CP"
"57,V-SB-B4,WED,AN,DS (84) + EEE (10) + ECE (23),5101,CP"
"58,V-SB-B4,THU,FN,DS (84) + EEE (10) + ECE (23),5101,JFS"
"59,V-SB-B4,FRI,FN,DS (84) + EEE (10) + ECE (23),5101,CP"
"60,V-SB-B4,SAT,FN,DS (84) + EEE (10) + ECE (23),5101,DBMS"
"61,V-SB-B5,MON ,AN,CS (69) + ECE (36),5106,CP"
"62,V-SB-B5,TUE,AN,CS (69) + ECE (36),5106,CP"
"63,V-SB-B5,WED,AN,CS (69) + ECE (36),5106,JFS"
"64,V-SB-B5,THU,FN,CS (69) + ECE (36),5106,CP"
"65,V-SB-B5,FRI,FN,CS (69) + ECE (36),5106,DBMS"
"66,V-SB-B5,SAT,FN,CS (69) + ECE (36),5106,JFS"